indicator,period,source,location,value,value_type,Sub-dashboard
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Yusufari LGA,0.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yusufari LGA,3,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yusufari LGA,25.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yusufari LGA,18.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yusufari LGA,17,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yusufari LGA,21.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Yunusari LGA,8.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yunusari LGA,1.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yunusari LGA,4.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yunusari LGA,9.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yunusari LGA,9.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yunusari LGA,8.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yunusari LGA,12.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yorro LGA,3.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yorro LGA,8.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yorro LGA,14.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yorro LGA,5.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yorro LGA,6.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yorro LGA,5.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yola South LGA,18.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yola South LGA,33.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yola South LGA,95,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yola South LGA,145.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yola South LGA,85,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yola South LGA,69.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Yola North LGA,0.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yola North LGA,110.9,Routine,Health_Outcomes
